"Type","Param","ECO","Hemisphere","model","BIC","AIC","AICc","R2m","R2c"
"ELE","O","T","N","SHIFT ~ Data + Sampling + Grain_size + Uncertainty_Distribution + ID.area + N + (1 | Genus) + (1 | StartF)",42372.5119060784,42289.674278482,42289.7167737149,0.0114518837770793,0.0354815371214265
"LAT","O","T","N","SHIFT ~ Data + Sampling + Grain_size + Uncertainty_Distribution + ID.area + N + (1 | Family/Genus) + (1 | ID)",39063.5906003455,38974.2282347522,38974.2792866457,0.0369489386775857,0.93134398219592
"ELE","LE","T","N","SHIFT ~ Data + Sampling + Grain_size + Uncertainty_Distribution + ID.area + N + (1 | Group) + (1 | StartF) + (1 | Uncertainty_Parameter)",28719.5165914061,28637.3792851317,28637.4684134373,0.00126062178412056,0.0468569932117688
"LAT","LE","T","N","SHIFT ~ Data + Sampling + Grain_size + Uncertainty_Distribution + ID.area + N + (1 | Family/Genus) + (1 | StartF)",36900.823331422,36813.4658345528,36813.5254187728,0.0530065803841459,0.291391613530025
"ELE","TE","T","N","SHIFT ~ Data + Sampling + Grain_size + Uncertainty_Distribution + ID.area + N + (1 | Family/Genus) + (1 | StartF) + (1 | Uncertainty_Parameter)",9166.56970011041,9092.96179263017,9093.26093792932,0.0295697084720214,0.249999676175277
"LAT","TE","T","N","SHIFT ~ Data + Sampling + Grain_size + Uncertainty_Distribution + ID.area + N + (1 | Group) + (1 | ID)",6461.6042470032,6399.54436512997,6399.78641322928,0.149152045832322,0.392102545732479
"LAT","O","M","N","SHIFT ~ Data + Sampling + Grain_size + Uncertainty_Distribution + ID.area + N + (1 | Genus) + (1 | StartF) + (1 | Uncertainty_Parameter)",5148.34193514246,5087.15272476663,5087.60546108503,0.0880697095627618,0.232636999247543
"LAT","LE","M","N","SHIFT ~ Data + Sampling + Grain_size + Uncertainty_Distribution + ID.area + N + (1 | StartF)",1502.64383517086,1465.98392844495,1467.33777459879,0.268849361331842,0.702748248284174
"LAT","TE","M","N","SHIFT ~ Data + Sampling + Grain_size + Uncertainty_Distribution + ID.area + N + (1 | Genus) + (1 | StartF)",1246.29454018521,1212.53659396079,1214.33251232814,0.255437546241996,0.859549489516609
"ELE","O","T","S","SHIFT ~ Grain_size + ID.area + N + (1 | Family/Genus) + (1 | ID)",691.941490766446,675.738608571691,676.554142552274,0.210486115819828,0.792382464798277
"LAT","O","T","S","SHIFT ~ Sampling + Grain_size + Uncertainty_Distribution + ID.area + N + (1 | Family/Genus) + (1 | ID)",1971.30340979439,1935.29309243006,1935.51227051226,0.102088448690165,0.595748783405228
"ELE","LE","T","S","SHIFT ~ Uncertainty_Distribution + ID.area + N + (1 | Family/Genus) + (1 | ID)",1405.39865129949,1377.42130549714,1378.03407145459,0.0611995505355782,0.42836870567182
"ELE","TE","T","S","SHIFT ~ Uncertainty_Distribution + ID.area + N + (1 | Family/Genus) + (1 | ID)",567.470761542729,546.791021713364,548.408999241454,0.0837798783685073,0.678020450072486
"LAT","O","M","S","SHIFT ~ Data + Grain_size + Uncertainty_Distribution + ID.area + N + (1 | Genus) + (1 | ID)",707.610453262456,692.746432375586,693.783469412624,0.00561273161884365,0.142391519924743
"LAT","LE","M","S","SHIFT ~ Sampling + Grain_size + Uncertainty_Distribution + ID.area + N + (1 | StartF)",1068.53883306271,1046.3057849347,1046.96850682819,0.177841209953258,0.860103205083382
"LAT","TE","M","S","SHIFT ~ ID.area + N + (1 | Group) + (1 | ID)",252.216706245686,242.656591218545,244.020227582182,0.0896507474524596,0.201660996466074
