"var";"moy";"sd";"median";"q025";"p975";"pv.inf0";"pv.sup0";"model"
"(Intercept)";-3.81435136393057;0.257433611037937;-3.80653425934869;-4.34373456304457;-3.34236275264404;0;1;"allW"
"ContinuousGrain";0.0647407098509218;0.0333875301223536;0.0660308545626646;-0.00542370310526751;0.1259798808715;0.9664;0.0336;"allW"
"LogExtent";0.531470813029057;0.0417927204024957;0.529961911166142;0.454889446527617;0.617358852219136;1;0;"allW"
"LogNtempUnits";-0.0667899924624119;0.0274023888445007;-0.0661574484825735;-0.121665658759059;-0.0146371533894172;0.004;0.996;"allW"
"ParamLE";1.24274017267075;0.0573122952612602;1.2431577205984;1.12806671719272;1.35396845743696;1;0;"allW"
"ParamTE";0.572332714425841;0.0872694774063076;0.576454033284238;0.39228711462356;0.73210868444482;1;0;"allW"
"PrAbabundance";0.914593578040831;0.0704602515245334;0.913335016425447;0.779643812702207;1.05608515629932;1;0;"allW"
"QualityRAW";0.301533557702162;0.0475887777223453;0.301824777943145;0.209078528461191;0.39397351636638;1;0;"allW"
"QualityRESURVEYED";-0.502286139137403;0.100647480455036;-0.496811971439279;-0.70896069187446;-0.31258275615708;0;1;"allW"
"scale(GD)";0.14601916196645;0.0307692300035852;0.146715673721771;0.0835862810332652;0.203583650729214;1;0;"allW"
"scale(GD):ParamLE";-0.163038245456667;0.0424985108074655;-0.164002927469995;-0.243799278350841;-0.0761222705349378;0.000399999999999956;0.9996;"allW"
"scale(GD):ParamTE";-0.172745163666217;0.136018592322389;-0.172347590974125;-0.441505160848393;0.0915949858342873;0.0958;0.9042;"allW"
"scale(vel_abs)";0.307578927353328;0.0232921900908921;0.308305327081352;0.259542137064789;0.351526441625348;1;0;"allW"
"scale(vel_abs):ParamLE";-0.405759608399571;0.0617904665185202;-0.404367407172057;-0.531890166623467;-0.289460311816885;0;1;"allW"
"scale(vel_abs):ParamTE";0.0845502696540956;0.111158847826457;0.0870474877959672;-0.14761688884273;0.29881568282816;0.7916;0.2084;"allW"
"scale(vel_abs):scale(GD)";-0.085759963498787;0.0192504108561608;-0.0863194673508196;-0.122152190278951;-0.0468069314855712;9.9999999999989e-05;0.9999;"allW"
"scale(vel_abs):scale(GD):ParamLE";-0.0415014960651467;0.0443679760355385;-0.0428222869874914;-0.124381796524497;0.0501607372653143;0.1625;0.8375;"allW"
"scale(vel_abs):scale(GD):ParamTE";-0.149298077584393;0.172247971577791;-0.0965127055523961;-0.600431288028351;0.0493198072615395;0.123;0.877;"allW"
